Title,Year,DOI
Action recognition and understanding through motor primitives,2007,10.1163/156855307782506156
Towards single-arm reaching for humanoids in dynamic environments,2004,
Evolved motor primitives and sequences in a hierarchical recurrent neural network,2004,10.1007/978-3-540-24854-5_63
Exemplar-based primitives for humanoid movement classification and control,2004,10.1109/robot.2004.1307142
Automated derivation of primitives for movement classification,2002,10.1023/A:1013254724861
"15th European Symposium on Artificial Neural Networks, ESANN 2007",2007,
Learning Attractor Landscapes for Learning Motor Primitives,2002,
Neuroethological concepts and their transfer to walking machines,2003,10.1177/027836403128964917
Intelligent control of a 7-DOF manipulator based on model primitives,2002,
Emergence of functional hierarchy in a multiple timescale neural network model: A humanoid robot experiment,2008,10.1371/journal.pcbi.1000220
Autonomous learning of the semantics of internal sensory states based on motor exploration,2007,10.1142/S0219843607001102
Reinforcement learning in MirrorBot,2005,10.1007/11550822_48
Reinforcement learning for parameterized motor primitives,2006,10.1109/ijcnn.2006.246662
Learning perceptual coupling for motor primitives,2008,10.1109/IROS.2008.4650953
Modeling and recognition of actions through motor primitives,2008,10.1109/ROBOT.2008.4543446
Reinforcement learning of motor skills with policy gradients,2008,10.1016/j.neunet.2008.02.003
Motor primitives in vertebrates and invertebrates,2005,10.1016/j.conb.2005.10.011
The emotive episode is a composition of anticipatory and reactive evaluations,2005,
"Modularity, evolution, and the binding problem: A view from stability theory",2001,10.1016/S0893-6080(00)00089-7
Mental models for cognitive control,2007,10.1117/12.721968
Goal-directed imitation for robots: A bio-inspired approach to action understanding and skill learning,2006,10.1016/j.robot.2006.01.004
Rapid synchronization and accurate phase-locking of rhythmic motor primitives,2005,10.1109/IROS.2005.1545257
Applying the episodic natural actor-critic architecture to motor primitive learning,2007,
A control system for a flexible spine belly-dancing humanoid,2006,10.1162/106454606775186464
Parametric primitives for motor representation and control,2002,
Action recognition and understanding using motor primitives,2007,10.1109/ROMAN.2007.4415247
Emulation of biological motor primitives in an artificial system: the generation of static force fields,1999,
